rows: 24
cols: 20
  0.02  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.04  0.04  0.04  0.04  0.05  0.05  0.04  0.04  0.04  0.04  0.05  0.06
  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.12  0.04  0.04  0.05  0.06  0.04  0.04  0.04  0.04  0.05  0.05  0.05
  0.03  0.03  0.03  0.04  0.03  0.03  0.03  0.15  0.56  0.28  0.04  0.05  0.11  0.10  0.04  0.04  0.04  0.04  0.05  0.05
  0.03  0.03  0.03  0.04  0.10  0.03  0.02  0.09  0.35  0.46  0.05  0.05  0.36  0.55  0.04  0.05  0.05  0.05  0.05  0.05
  0.03  0.03  0.03  0.09  0.57  0.30  0.02  0.06  0.26  0.54  0.04  0.03  0.30  0.59  0.04  0.05  0.05  0.05  0.05  0.05
  0.03  0.03  0.03  0.05  0.36  0.46  0.01  0.04  0.27  0.58  0.03  0.03  0.32  0.55  0.04  0.05  0.05  0.05  0.06  0.06
  0.03  0.03  0.02  0.01  0.24  0.57  0.03  0.03  0.23  0.53  0.10  0.06  0.35  0.55  0.04  0.04  0.05  0.05  0.06  0.06
  0.03  0.16  0.11  0.01  0.19  0.52  0.20  0.02  0.29  0.57  0.20  0.15  0.41  0.57  0.04  0.04  0.05  0.05  0.06  0.06
  0.03  0.30  0.54  0.02  0.12  0.44  0.51  0.03  0.26  0.49  0.26  0.26  0.49  0.49  0.04  0.04  0.04  0.05  0.05  0.06
  0.02  0.16  0.56  0.18  0.07  0.38  0.63  0.07  0.17  0.37  0.27  0.27  0.43  0.35  0.04  0.04  0.05  0.05  0.05  0.06
  0.01  0.05  0.42  0.49  0.03  0.21  0.40  0.46  0.44  0.52  0.63  0.53  0.59  0.25  0.04  0.04  0.13  0.42  0.39  0.06
  0.01  0.01  0.19  0.58  0.33  0.20  0.45  0.50  0.47  0.47  0.49  0.54  0.67  0.21  0.04  0.15  0.47  0.58  0.45  0.06
  0.01  0.01  0.06  0.36  0.57  0.56  0.58  0.50  0.40  0.42  0.44  0.53  0.68  0.18  0.06  0.24  0.44  0.41  0.08  0.06
  0.02  0.01  0.02  0.16  0.47  0.61  0.66  0.61  0.49  0.45  0.44  0.63  0.77  0.30  0.18  0.30  0.35  0.18  0.06  0.06
  0.02  0.01  0.02  0.12  0.42  0.58  0.68  0.68  0.55  0.51  0.51  0.53  0.65  0.29  0.25  0.32  0.37  0.07  0.06  0.06
  0.02  0.02  0.02  0.11  0.41  0.61  0.70  0.74  0.58  0.49  0.51  0.46  0.56  0.48  0.34  0.40  0.31  0.05  0.06  0.06
  0.02  0.02  0.02  0.08  0.36  0.55  0.63  0.71  0.51  0.48  0.49  0.54  0.58  0.59  0.60  0.58  0.21  0.05  0.05  0.06
  0.02  0.02  0.01  0.04  0.26  0.48  0.56  0.65  0.44  0.44  0.44  0.47  0.51  0.52  0.54  0.47  0.09  0.05  0.05  0.05
  0.02  0.01  0.01  0.01  0.18  0.37  0.49  0.57  0.34  0.37  0.40  0.39  0.44  0.45  0.44  0.16  0.05  0.05  0.05  0.05
  0.02  0.01  0.01  0.01  0.10  0.23  0.35  0.43  0.27  0.28  0.30  0.28  0.26  0.33  0.22  0.04  0.04  0.04  0.04  0.04
  0.02  0.01  0.01  0.01  0.02  0.15  0.22  0.25  0.18  0.16  0.17  0.19  0.20  0.17  0.04  0.04  0.04  0.04  0.04  0.04
  0.01  0.01  0.01  0.01  0.01  0.07  0.14  0.14  0.12  0.12  0.11  0.11  0.15  0.07  0.04  0.04  0.04  0.04  0.04  0.04
  0.01  0.01  0.01  0.01  0.01  0.05  0.14  0.17  0.20  0.18  0.23  0.27  0.35  0.06  0.04  0.04  0.03  0.03  0.04  0.04
  0.01  0.01  0.01  0.01  0.01  0.04  0.19  0.22  0.30  0.32  0.36  0.41  0.47  0.09  0.04  0.03  0.03  0.03  0.04  0.04
